productID,reviewerID,rating,unixReviewTime
0,74,3,1569436169
0,761,3,1569660131
0,1193,4,1569822506
0,1292,3,1569818161
0,341,3,1567659502
0,903,4,1567861059
0,1099,4,1569183502
0,231,3,1568892614
0,504,1,1568164437
0,290,3,1569496811
0,1443,5,1567431990
0,302,3,1569591820
0,151,3,1569525112
0,634,3,1568464080
0,1430,3,1567834988
0,67,5,1569110232
0,1343,3,1567534025
0,84,3,1569408611
0,1376,3,1569306327
0,1364,3,1569839072
0,1431,4,1569050608
0,397,4,1568952351
1,894,3,1569394292
1,941,3,1569238845
1,180,3,1567978743
1,1252,3,1567455235
1,1047,3,1568620589
1,38,3,1567739195
1,162,3,1568307354
1,605,3,1567760355
1,382,5,1567805800
1,906,3,1567845036
1,567,2,1568917319
1,596,2,1567368558
1,1207,2,1569024113
1,275,5,1567565025
1,1240,2,1567533613
1,259,2,1569451341
1,223,2,1567652865
1,1174,3,1569535539
1,506,3,1567371930
1,902,4,1567802306
1,1065,3,1567388379
1,390,4,1567675546
1,1135,2,1569146885
1,675,5,1569549958
1,476,4,1569543526
1,597,2,1569298909
1,1370,3,1567855491
2,839,2,1568107972
2,1126,4,1569567242
2,1458,3,1567948224
2,1245,4,1569291462
2,319,2,1567610338
2,1307,3,1568142853
2,591,5,1569597097
2,248,3,1569196390
2,1259,4,1567876325
2,502,5,1569864539
2,467,1,1569621687
2,570,4,1567537469
2,464,4,1569037223
2,1184,2,1568837637
2,1358,5,1569515410
2,793,4,1568972628
2,800,4,1567482778
2,1088,5,1569559954
2,1104,3,1569385684
2,1176,3,1569762781
2,132,3,1569817983
2,93,4,1569466536
2,196,3,1568685534
2,748,4,1567964044
2,293,3,1567957456
2,367,5,1568966252
2,672,4,1567702445
2,504,1,1568582218
2,479,3,1567649228
2,1183,5,1568980169
2,233,3,1568669994
3,1194,4,1568649126
3,574,1,1567569591
3,729,1,1567365018
3,599,1,1567340768
3,1164,1,1567326349
3,30,4,1569708022
3,1304,4,1569087811
3,1144,4,1568975079
3,276,3,1568344250
3,469,4,1569635850
3,619,3,1569499240
4,1434,5,1569212647
4,323,4,1569316788
4,495,3,1567742703
4,549,5,1569210475
4,798,3,1569084584
4,949,4,1569041309
4,523,4,1569270703
4,200,3,1567684220
4,682,5,1568183977
4,538,4,1569784981
4,571,5,1569233296
4,1298,4,1569392911
5,1105,4,1569556236
5,328,3,1569512586
5,1106,5,1569281479
5,466,4,1568818380
5,827,5,1567441774
5,790,3,1567871597
6,559,1,1568527781
6,1451,2,1568016018
6,1275,1,1567900979
6,164,1,1569051422
6,1113,1,1567610173
6,762,1,1567342022
7,1346,3,1569467396
7,204,3,1567296337
7,1260,4,1567956989
7,912,3,1567824449
7,1333,5,1569738631
7,339,2,1568453791
7,1175,2,1568810414
7,78,3,1569222095
7,1429,1,1568896363
7,698,3,1569127110
7,965,2,1568758906
7,374,3,1569126185
7,742,3,1568536218
7,612,4,1567643686
7,434,3,1569066086
7,73,3,1567899951
7,844,2,1569518754
7,899,3,1568380891
7,991,2,1568591458
7,969,2,1568442206
7,1277,3,1569550429
7,1027,3,1569796365
8,839,2,1568178216
8,54,2,1569689516
8,1001,1,1568778354
8,1321,1,1568568102
8,402,1,1568942704
8,236,2,1568929689
8,7,2,1568057373
9,123,4,1569349226
9,2,3,1567464374
9,1196,3,1567649747
9,1086,3,1568758149
9,903,5,1568726916
9,1166,4,1568471055
9,763,4,1569717427
9,77,4,1569559050
9,493,3,1569235737
9,767,5,1568501660
9,1000,3,1568403460
9,1080,4,1567649140
